source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_malibu,SL_aua,SL_zvartnoc,SL_dalma,SL_yerevan_mall,SL_shumyan_cemetery,SL_nork_cemetery,SL_central_cemetery,SL_davtashen_cemetery,SL_zeytun_cemetery,SL_yerablur,SL_avan_cemetery,SL_baghramyan_subway,SL_shengavit_subway,SL_barekamutyun_subway,SL_yeritasardakan_subway,SL_zoravar_subway,SL_sasunci_subway,SL_gorcarain_subway,SL_gergin_subway,SL_charbakh_subway,SL_avan,SL_massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bnakaran,d117168,225000.0,59.0,2.0,4.0,10.0,1.0,1,0,0,0,0,1,0,0,44.51938759259,40.181539500098,1,0,0,0,1,0,0,0,"(40.181539500098, 44.51938759259)",615,982,1753,10612,2641,3320,5671,2643,3798,5861,4123,6105,5475,2789,4970,2685,521,1301,3170,4832,4671,6136,6782,4409,19,8,25,3,5,11,13,0,0,2,0,0,1,1,0,0,0,0
bnakaran,d117608,148000.0,80.0,2.0,16.0,16.0,2.0,0,0,0,1,0,0,0,0,44.507054018523,40.184604741087,0,0,1,0,1,0,0,0,"(40.184604741087, 44.507054018523)",700,189,897,9740,1694,3294,4569,3496,4631,4987,4543,5333,6197,1801,4766,1710,1104,1550,3335,4892,4342,5770,7459,4838,4,5,7,4,4,9,5,5,1,2,3,0,1,2,0,4,0,0
bnakaran,d117597,139000.0,140.0,3.0,4.0,5.0,2.0,0,0,0,1,0,1,0,0,44.573447993422,40.199090899141,0,0,0,1,1,0,0,0,"(40.199090899141, 44.573447993422)",5166,5838,5906,15587,7553,7875,9956,2369,6119,8612,2749,11094,1212,6769,9575,6664,4769,6058,7496,9055,9432,10872,2328,7914,0,4,2,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0
bnakaran,d108979,300000.0,120.0,2.0,8.0,10.0,2.0,1,0,1,1,0,0,0,0,44.515394,40.182066,1,0,0,0,1,0,0,0,"(40.182066, 44.515394)",438,638,1480,10308,2311,3224,5331,2922,4009,5611,4273,5821,5723,2493,4833,2393,598,1236,3132,4774,4497,5958,7020,4471,23,7,28,3,8,10,14,2,0,3,1,1,0,3,0,1,0,0
bnakaran,d117590,105000.0,70.0,2.0,6.0,10.0,1.0,1,0,1,1,0,0,0,0,44.512879,40.17787,1,0,0,0,1,0,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
bnakaran,d117585,120000.0,80.0,3.0,5.0,9.0,1.0,0,0,0,1,0,0,0,0,44.516258134918,40.182994771294,0,0,1,0,1,0,0,0,"(40.182994771294, 44.516258134918)",348,702,1450,10411,2400,3347,5367,2813,4064,5571,4146,5932,5606,2480,4960,2378,472,1354,3250,4895,4624,6084,6900,4571,19,3,38,3,7,9,16,0,0,2,2,0,0,0,0,1,0,0
bnakaran,d117552,144000.0,90.0,4.0,4.0,4.0,2.0,0,0,0,0,0,0,0,0,44.505100250244,40.184101104736,0,0,0,1,1,0,0,0,"(40.184101104736, 44.505100250244)",874,271,927,9565,1519,3215,4432,3671,4686,4953,4703,5162,6370,1749,4654,1664,1277,1553,3284,4815,4215,5635,7630,4818,3,3,7,3,2,7,4,2,1,2,1,0,1,1,0,0,0,0
bnakaran,d117580,225000.0,102.0,3.0,5.0,5.0,1.0,0,0,0,0,0,0,0,0,44.520169780426,40.181923143493,0,0,0,1,1,0,0,0,"(40.181923143493, 44.520169780426)",625,1042,1773,10688,2712,3390,5720,2564,3809,5868,4050,6183,5396,2815,5043,2710,477,1370,3232,4896,4747,6212,6704,4454,19,7,28,3,7,11,10,0,0,2,2,0,1,1,0,1,0,0
bnakaran,d117581,225000.0,102.0,4.0,5.0,5.0,1.0,0,0,0,0,0,0,0,0,44.520094678573,40.181849081165,0,0,0,1,1,0,0,0,"(40.181849081165, 44.520094678573)",627,1037,1774,10680,2704,3379,5717,2574,3804,5871,4061,6174,5406,2815,5033,2710,485,1360,3222,4886,4737,6202,6714,4445,20,7,28,3,4,11,11,0,0,2,2,0,1,1,0,0,0,0
bnakaran,d117457,72000.0,60.0,2.0,11.0,16.0,1.0,1,0,1,1,0,0,0,0,44.516297662704,40.204137247225,1,0,0,0,1,0,0,0,"(40.204137247225, 44.516297662704)",2019,2447,1644,11402,3652,5583,5145,2879,6233,3947,2702,7283,4778,2060,7074,1975,2016,3676,5562,7170,6634,8041,5861,6921,1,2,4,2,2,0,5,0,3,2,0,0,0,1,0,0,0,0
