source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other
76,bars,1-3-2114,3098.5915492957747,71.0,3.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.50439786901182,40.18091474247,0,0,0,1,1,0,0,0
77,bars,53896,961.5384615384615,78.0,3.0,2.0,4.0,1.0,0,0,1,0,1,1,0,0,44.5273774,40.17699785,0,1,0,0,0,1,0,0
78,bars,1-1-441,3571.4285714285716,42.0,1.0,5.0,8.0,1.0,0,0,0,0,1,0,0,1,44.5215976,40.18607885,0,1,0,0,0,1,0,0
79,bars,4-3-1435,2000.0,130.0,4.0,9.0,9.0,1.0,0,1,1,1,1,1,0,1,44.49978402004816,40.19794363418706,0,1,0,0,1,0,0,0
80,bars,4-1-4,3000.0,50.0,1.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,44.50603348930943,40.19194689069822,0,0,0,1,1,0,0,0
81,bars,5-2-325,2894.7368421052633,76.0,2.0,14.0,15.0,1.0,0,1,0,1,1,1,0,1,44.49141207406966,40.19293930149094,0,1,0,0,1,0,0,0
82,bars,4-3-1414,1961.5384615384614,78.0,3.0,3.0,5.0,1.0,0,1,0,0,1,0,0,0,44.499155086504345,40.19562050194883,0,0,0,1,1,0,0,0
83,bars,1-3-2124,2150.0,200.0,5.0,3.0,8.0,3.0,0,0,0,1,0,1,0,1,44.4201581,40.18735935,0,1,0,0,1,0,0,0
84,bars,4-3-1411,1951.219512195122,82.0,3.0,1.0,3.0,1.0,0,1,0,1,0,0,1,0,44.527093186775616,40.20956602303578,0,1,0,0,1,0,0,0
85,bars,2-1-48,3918.9189189189187,37.0,1.0,4.0,4.0,1.0,0,0,0,0,0,1,0,0,44.51344849450384,40.1767382062846,0,0,0,1,1,0,0,0
86,bars,4-3-1162,2835.0515463917527,97.0,3.0,15.0,16.0,2.0,0,1,0,1,1,1,0,1,44.48842560030741,40.19502146089586,0,1,0,0,1,0,0,0
87,bars,1-N-426,4500.0,100.0,3.0,9.0,13.0,2.0,0,1,0,1,1,1,0,0,44.514048989347714,40.1861605885798,0,1,0,0,1,0,0,0
88,bars,6-D3-206,2066.6666666666665,75.0,3.0,1.0,9.0,1.0,0,1,0,1,0,1,0,1,44.4701813882256,40.21611126911036,0,0,1,0,1,0,0,0
89,bars,4-3-1435,2000.0,130.0,4.0,9.0,9.0,1.0,0,1,1,1,1,1,0,1,44.49978402004816,40.19794363418706,0,1,0,0,1,0,0,0
90,bars,4-1-4,3000.0,50.0,1.0,1.0,5.0,1.0,0,0,0,0,0,0,0,0,44.50603348930943,40.19194689069822,0,0,0,1,1,0,0,0
91,bars,5-2-325,2894.7368421052633,76.0,2.0,14.0,15.0,1.0,0,1,0,1,1,1,0,1,44.49141207406966,40.19293930149094,0,1,0,0,1,0,0,0
92,bars,4-3-1414,1961.5384615384614,78.0,3.0,3.0,5.0,1.0,0,1,0,0,1,0,0,0,44.499155086504345,40.19562050194883,0,0,0,1,1,0,0,0
93,bars,1-3-2124,2150.0,200.0,5.0,3.0,8.0,3.0,0,0,0,1,0,1,0,1,44.4201581,40.18735935,0,1,0,0,1,0,0,0
94,bars,4-3-1411,1951.219512195122,82.0,3.0,1.0,3.0,1.0,0,1,0,1,0,0,1,0,44.527093186775616,40.20956602303578,0,1,0,0,1,0,0,0
95,bars,2-1-48,3918.9189189189187,37.0,1.0,4.0,4.0,1.0,0,0,0,0,0,1,0,0,44.51344849450384,40.1767382062846,0,0,0,1,1,0,0,0
96,bars,4-3-1162,2835.0515463917527,97.0,3.0,15.0,16.0,2.0,0,1,0,1,1,1,0,1,44.48842560030741,40.19502146089586,0,1,0,0,1,0,0,0
97,bars,1-N-426,4500.0,100.0,3.0,9.0,13.0,2.0,0,1,0,1,1,1,0,0,44.514048989347714,40.1861605885798,0,1,0,0,1,0,0,0
98,bars,6-D3-206,2066.6666666666665,75.0,3.0,1.0,9.0,1.0,0,1,0,1,0,1,0,1,44.4701813882256,40.21611126911036,0,0,1,0,1,0,0,0
99,bars,6-Sh2-48,2096.7741935483873,62.0,2.0,2.0,14.0,1.0,1,0,0,0,0,0,0,0,44.50671851403171,40.150346813084205,0,1,0,0,0,1,0,0
100,bars,4-3-1407,1647.0588235294117,85.0,3.0,2.0,12.0,2.0,0,1,0,0,0,1,0,1,44.52733885,40.20019725,0,0,1,0,0,1,0,0
101,bars,4-3-1406,1923.076923076923,156.0,5.0,4.0,5.0,1.0,0,1,0,0,1,1,0,0,44.48842560030741,40.19502146089586,0,1,0,0,1,0,0,0
102,bars,4-3-1408,2162.5,80.0,3.0,2.0,5.0,1.0,0,1,0,1,1,1,0,0,44.499155086504345,40.19562050194883,0,0,0,1,1,0,0,0
103,bars,4-3-1409,1644.7368421052631,76.0,3.0,3.0,5.0,1.0,0,0,0,0,1,1,0,0,44.57251521346963,40.21266289465016,0,0,0,1,0,1,0,0
104,bars,4-3-1410,2162.162162162162,74.0,3.0,2.0,5.0,1.0,0,1,0,0,1,1,0,0,44.4972968,40.20489739999999,0,0,0,1,1,0,0,0
105,bars,1-1-417,4225.352112676056,35.5,1.0,5.0,5.0,1.0,0,0,0,1,0,1,0,0,44.525275644939626,40.18489525304254,0,1,0,0,1,0,0,0
106,bars,1-3-1293,3292.5015931459325,141.23,3.0,2.0,5.0,1.0,0,0,0,0,1,1,0,0,44.5180200101794,40.18203709652422,0,1,0,0,0,1,0,0
107,bars,4-2-195,1707.6923076923076,65.0,2.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.49857435,40.20958515,0,0,0,1,1,0,0,0
108,bars,1-N-409,5090.909090909091,110.0,3.0,15.0,18.0,2.0,1,0,0,0,0,0,0,0,44.51166722152143,40.182206184659805,0,1,0,0,0,1,0,0
109,bars,4-3-1344,2916.6666666666665,240.0,4.0,5.0,13.0,2.0,0,0,0,1,1,1,0,1,44.499437857296144,40.19210576699806,0,1,0,0,1,0,0,0
110,bars,1-2-912,2850.1628664495115,61.4,2.0,3.0,7.0,1.0,0,0,0,0,0,1,0,1,44.505052000470215,40.183781674798254,0,1,0,0,1,0,0,0
111,bars,1-3-2120,2398.0815347721823,125.1,4.0,9.0,13.0,1.0,0,0,0,0,1,0,0,1,44.50449735,40.1832187,0,0,1,0,0,0,0,1
112,bars,6-Ach2-121,2000.0,59.0,2.0,4.0,6.0,1.0,0,0,0,0,0,1,0,1,44.46234708546167,40.1906722427931,0,1,0,0,1,0,0,0
113,bars,4-3-1399,1815.3846153846155,65.0,3.0,4.0,9.0,1.0,1,0,0,0,1,0,0,0,44.55827345658594,40.199176396159615,0,1,0,0,0,1,0,0
114,bars,1-3-2119,3644.8598130841124,107.0,3.0,3.0,5.0,1.0,0,1,0,1,0,1,0,0,44.517821617617976,40.17743184144194,0,1,0,0,1,0,0,0
115,bars,1-2-985,2093.9086294416243,78.8,2.0,16.0,16.0,1.0,0,0,0,0,0,0,0,0,44.505052000470215,40.183781674798254,0,0,1,0,0,1,0,0
116,bars,4-3-1400,4166.666666666667,120.0,3.0,8.0,17.0,2.0,0,1,1,0,1,1,0,1,44.50603348930943,40.19194689069822,0,1,0,0,1,0,0,0
117,bars,1-3-1762,1800.0,75.0,3.0,5.0,4.0,1.0,0,0,0,0,0,0,0,0,44.583870697678144,40.21673211791397,0,1,0,0,0,1,0,0
