,source,id,price,area,rooms,floor,storeys,building_type,condition,bathroom_count,new_building,F_Elevator,F_Furniture,F_Heating System,F_Security,F_Internet,F_Balcony,F_Air Conditioner,latitude,longitude
72,myrealty,142452,169000,65,3,7,15,Monolit,New/Excellent Condition,1,1,0,1,1,0,1,0,1,44.50409202665325,40.17429211194108
73,myrealty,142451,170000,66,3,10,15,Monolit,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.50409202665325,40.17429211194108
74,myrealty,142450,295000,86,3,4,6,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.50523170804844,40.19493042144863
75,myrealty,142437,140000,30,2,2,4,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.514048989347714,40.1861605885798
76,myrealty,142418,460000,90,2,10,17,Monolit,New/Excellent Condition,1,1,1,1,1,0,0,0,1,44.51959732658925,40.20241187184684
77,myrealty,142413,65000,50,1,8,9,Panel,Needs Renovation/Repair,1,0,1,0,0,0,0,1,0,44.537309155929435,40.21296434280941
78,myrealty,142389,464000,116,3,16,18,Monolit,New/Excellent Condition,2,1,1,1,1,0,0,0,1,44.51240035,40.1775186
79,myrealty,142387,155000,62,2,3,5,Stone,Needs Renovation/Repair,1,0,0,0,0,0,0,1,0,44.48842560030741,40.19502146089586
80,myrealty,142384,310000,81,2,4,9,Monolit,New/Excellent Condition,2,1,0,1,1,0,1,0,1,44.51959732658925,40.20241187184684
81,myrealty,142383,255000,205,6,3,3,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.5308931,40.19180365
82,myrealty,142382,255000,208,6,3,3,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.5308931,40.19180365
83,myrealty,142380,255000,208,6,3,3,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.5308931,40.19180365
84,myrealty,142377,245000,67,3,4,5,Monolit,New/Excellent Condition,1,1,0,1,1,0,1,0,1,44.50523170804844,40.19493042144863
85,myrealty,142376,245000,67,3,4,5,Monolit,New/Excellent Condition,1,1,1,1,1,1,1,0,1,44.51046206679187,40.1942701013597
86,myrealty,142373,115000,77,3,3,5,Stone,New/Excellent Condition,1,0,0,1,1,0,1,0,1,44.57111460185527,40.2061998983339
87,myrealty,142359,150000,74,2,7,7,Stone,Good Condition,1,0,0,1,1,0,1,0,0,44.44736525,40.2167556
88,myrealty,142358,180000,75,2,5,5,Stone,Needs Renovation/Repair,1,0,0,0,0,0,0,0,0,44.583870697678144,40.21673211791397
89,myrealty,142357,257000,92,3,6,8,Stone,New/Excellent Condition,2,0,1,1,1,0,1,0,0,44.505052000470215,40.183781674798254
90,myrealty,142348,665000,131,4,7,17,Monolit,New/Excellent Condition,2,1,1,1,1,0,1,0,1,44.51863665459219,40.17606564344017
91,myrealty,142339,230000,113,3,5,5,Monolit,New/Excellent Condition,1,0,0,0,0,0,0,0,0,44.5129618594638,40.19399679221862
92,myrealty,142338,205000,64,3,8,17,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.52473536231635,40.20625843913501
93,myrealty,142337,169000,56,2,9,14,Monolit,New/Excellent Condition,1,1,0,1,1,0,1,0,1,44.48023076128606,40.14596510603376
94,myrealty,142307,160000,56,2,3,17,Monolit,New/Excellent Condition,1,1,0,1,1,0,1,0,1,44.5273774,40.17699785
95,myrealty,142306,275000,73,3,7,17,Monolit,New/Excellent Condition,1,1,1,1,1,0,1,0,1,44.5273774,40.17699785
