,source,id,price,area,rooms,floor,storeys,building_type,latitude,longitude,new_building,condition,bathroom_count,F_Security,F_Elevator,F_Heating System,F_Internet,F_Balcony,F_Furniture,F_Air Conditioner
214,bnakaran,d117867,1600.0,57,2,4,8,Monolit,44.50783,40.17787,1,Good Condition,1,0,0,0,0,0,0,1
215,bnakaran,d85015,2600.0,174,4,7,9,Monolit,44.513190549935,40.181628415692,1,New/Excellent Condition,2,0,0,0,0,0,0,0
216,bnakaran,d99286,2300.0,127,3,6,11,Monolit,44.511901855469,40.181198120117,1,Good Condition,2,0,0,0,0,0,0,0
217,bnakaran,d117899,120000.0,42,2,8,10,Monolit,44.512879,40.17787,0,New/Excellent Condition,1,0,0,0,0,0,0,1
218,bnakaran,d114569,100000.0,45,2,5,9,Panel,44.501473578047,40.197459365825,0,New/Excellent Condition,1,0,0,0,0,0,0,1
219,bnakaran,d110582,1400.0,74,3,4,4,Monolit,44.530827709042,40.179966951694,1,New/Excellent Condition,1,0,0,0,0,0,0,0
220,bnakaran,d98281,230000.0,46,2,8,16,Monolit,44.511429455989,40.179915238707,1,Good Condition,1,1,0,0,0,0,0,1
221,bnakaran,d117682,130000.0,40,2,2,5,Monolit,44.515102096538,40.169279922988,1,Good Condition,1,0,0,0,0,0,0,0
222,bnakaran,d115650,260000.0,65,2,14,16,Monolit,44.505586252639,40.184967516543,1,Good Condition,1,0,0,0,0,0,0,1
223,bnakaran,d112016,2200.0,140,3,11,14,Monolit,44.508352017197,40.183659602566,1,Good Condition,2,0,0,0,0,0,0,0
224,bnakaran,d91689,300000.0,130,3,7,12,Monolit,44.509669118925,40.206320888981,1,Good Condition,2,0,0,0,0,0,0,0
225,bnakaran,d42339,240000.0,109,3,10,16,Monolit,44.516680598281,40.203909758636,1,Good Condition,2,0,0,0,0,0,0,1
226,bnakaran,d89523,1300000.0,160,4,6,10,Monolit,44.514216529933,40.181219115559,1,New/Excellent Condition,2,1,0,0,0,0,0,1
227,bnakaran,d117910,470000.0,100,3,3,5,Stone,44.512879,40.17787,0,Good Condition,2,0,0,0,0,0,0,1
228,bnakaran,d117911,75000.0,67,2,10,10,Other,44.512879,40.17787,0,Good Condition,0,0,0,0,0,0,0,1
229,bnakaran,d117900,400000.0,151,5,3,5,Stone,44.499085710311,40.197921320088,0,Good Condition,2,0,0,0,0,0,0,0
230,bnakaran,d108949,117000.0,84,3,4,5,Stone,44.469027287032,40.208844098202,0,Good Condition,1,0,0,0,0,0,0,1
231,bnakaran,d117434,1300000.0,160,4,6,10,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
232,bnakaran,d117915,297000.0,122,3,8,15,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,1,0,0,0,0,0,1
233,bnakaran,d116788,205000.0,71,3,2,5,Stone,44.502351235442,40.179513738459,0,Good Condition,1,0,0,0,0,0,0,1
234,bnakaran,d117390,143000.0,77,3,2,9,Panel,44.487247283293,40.221408669649,0,New/Excellent Condition,1,0,0,0,0,0,0,1
235,bnakaran,d97606,235000.0,43,1,5,15,Monolit,44.511365082973,40.179825070883,1,Good Condition,1,1,0,0,0,0,0,1
236,bnakaran,d115983,2000.0,180,4,9,11,Monolit,44.512001037598,40.185398101807,1,Good Condition,2,0,0,0,0,0,0,0
237,bnakaran,d117879,1500.0,52,2,13,15,Monolit,44.51278803041,40.179182767197,1,New/Excellent Condition,1,0,0,0,0,0,0,0
238,bnakaran,d117878,1500.0,45,2,13,15,Monolit,44.512702199722,40.179166308119,1,New/Excellent Condition,1,0,0,0,0,0,0,0
239,bnakaran,d117876,95500.0,38,2,4,4,Stone,44.5036694841,40.204495046695,0,Good Condition,1,0,0,0,0,0,0,0
240,bnakaran,d85775,1300.0,120,4,3,5,Stone,44.518100738525,40.183300018311,0,New/Excellent Condition,2,0,0,0,0,0,0,0
241,bnakaran,d117875,108000.0,66,3,5,5,Stone,44.480920810836,40.152588015637,0,Good Condition,2,0,0,0,0,0,0,1
242,bnakaran,d113974,200250.0,133,4,5,9,Monolit,44.54096786502,40.193215279906,1,Needs Renovation/Repair,3,0,0,0,0,0,0,1
243,bnakaran,d113975,151500.0,101,3,6,9,Monolit,44.540989322693,40.193248189465,1,Needs Renovation/Repair,2,0,0,0,0,0,0,1
244,bnakaran,d113978,151500.0,101,3,6,9,Monolit,44.541010780364,40.19319882423,1,Needs Renovation/Repair,2,0,0,0,0,0,0,1
245,bnakaran,d113980,174300.0,116,3,7,9,Monolit,44.54126827243,40.19295199249,1,Needs Renovation/Repair,2,0,0,0,0,0,0,1
246,bnakaran,d113981,174300.0,116,3,7,9,Monolit,44.5410215092,40.193314012448,1,Needs Renovation/Repair,2,0,0,0,0,0,0,1
247,bnakaran,d116735,140000.0,100,4,2,5,Monolit,44.497933390212,40.14760815973,1,Good Condition,2,0,0,0,0,0,0,0
248,bnakaran,d58910,1000.0,71,3,2,5,Stone,44.51675789,40.1769881,0,New/Excellent Condition,1,0,0,0,0,0,0,0
249,bnakaran,d113766,151500.0,101,3,7,9,Monolit,44.540785474807,40.193305784943,1,Needs Renovation/Repair,2,0,0,0,0,0,0,1
250,bnakaran,d113767,166800.0,111,3,5,9,Monolit,44.541053695708,40.193116546957,1,Needs Renovation/Repair,2,0,0,0,0,0,0,1
251,bnakaran,d113768,200250.0,133,4,6,9,Monolit,44.540882034331,40.193149458171,1,Needs Renovation/Repair,3,0,0,0,0,0,0,1
252,bnakaran,d117913,130000.0,85,3,5,5,Stone,44.482444305557,40.152102284194,0,Good Condition,1,0,0,0,0,0,0,1
253,bnakaran,d103247,340000.0,150,4,3,18,Monolit,44.516460324081,40.203668475571,1,Good Condition,2,1,0,0,0,0,0,1
254,bnakaran,d114919,1200000.0,158,3,8,14,Monolit,44.514613,40.182121,0,Good Condition,3,0,0,0,0,0,0,1
255,bnakaran,d117898,95000.0,45,2,9,9,Panel,44.52404023677,40.201478401927,0,New/Excellent Condition,1,0,0,1,0,0,0,1
256,bnakaran,d116568,290000.0,91,3,3,5,Stone,44.503936191663,40.177470391035,0,Good Condition,0,0,0,0,0,0,0,0
257,bnakaran,d116762,230000.0,39,2,3,22,Monolit,44.509842,40.18046,1,Good Condition,1,0,0,0,0,0,0,1
258,bnakaran,d116950,110000.0,98,3,4,4,Stone,44.512879,40.17787,0,Good Condition,1,0,0,0,0,0,0,1
259,bnakaran,d97802,145000.0,72,3,5,10,Panel,44.515729903375,40.168955491541,0,Good Condition,1,0,0,0,0,0,0,0
260,bnakaran,d115472,105000.0,42,2,2,10,Other,44.503449695768,40.196814778967,0,Good Condition,1,0,0,0,0,0,0,1
261,bnakaran,d115059,620000.0,190,4,5,9,Monolit,44.496872966931,40.201861771652,1,Good Condition,3,0,0,0,0,0,0,1
262,bnakaran,d117873,750000.0,136,3,10,15,Monolit,44.512879,40.17787,0,Good Condition,3,0,0,0,0,0,0,1
263,bnakaran,d47261,1400.0,80,3,10,10,Monolit,44.515598297119,40.179401397705,1,Good Condition,1,0,0,0,0,0,0,0
264,bnakaran,d93904,2000.0,100,4,3,5,Stone,44.516498565674,40.179599761963,0,Good Condition,2,0,0,0,0,0,0,0
265,bnakaran,d115890,2000.0,100,3,7,8,Monolit,44.520461,40.181107397522,0,Good Condition,2,0,0,0,0,0,0,1
266,bnakaran,d6356,800.0,82,3,3,5,Stone,44.516498565674,40.179599761963,0,New/Excellent Condition,1,0,0,0,0,0,0,0
267,bnakaran,d78596,1500.0,80,3,3,5,Stone,44.50830078125,40.180198669434,0,Good Condition,1,0,0,0,0,0,0,0
268,bnakaran,d91282,1200.0,38,1,5,15,Monolit,44.508036554034,40.183704706005,1,Good Condition,1,0,0,1,0,0,0,0
269,bnakaran,d117824,650.0,54,2,3,5,Stone,44.524898529053,40.178100585938,0,Good Condition,1,0,0,0,0,0,0,0
270,bnakaran,d99099,1400.0,62,2,6,17,Monolit,44.511424,40.179957,1,Good Condition,1,0,0,0,0,0,0,1
271,bnakaran,d117194,135000.0,82,4,1,10,Panel,44.519598,40.16649869,0,Good Condition,1,0,0,0,0,0,0,1
272,bnakaran,d113691,975.0,77,3,11,11,Monolit,44.539834883432,40.180083751834,1,Good Condition,1,0,0,0,0,0,0,0
273,bnakaran,d117909,150000.0,74,3,2,9,Panel,44.494899749756,40.192501068115,0,Good Condition,1,0,0,0,0,0,0,1
274,bnakaran,d117805,130000.0,160,4,1,4,Stone,44.475157456344,40.205345241321,0,Good Condition,1,0,0,0,0,0,0,1
275,bnakaran,d116789,85000.0,34,2,12,14,Panel,44.50984318518,40.206442360475,0,New/Excellent Condition,1,0,0,0,0,0,0,0
276,bnakaran,d115274,290000.0,126,4,8,8,Monolit,44.512879,40.17787,1,New/Excellent Condition,2,0,0,0,0,0,0,1
277,bnakaran,d3279,875.0,40,1,3,5,Stone,44.524501800537,40.188800811768,0,Good Condition,1,0,0,0,0,0,0,0
278,bnakaran,d117868,587.5,54,2,1,5,Stone,44.511233932541,40.159011363247,0,Good Condition,1,0,0,0,0,0,0,0
279,bnakaran,d113680,205000.0,91,3,6,8,Monolit,44.524138171966,40.212930647332,1,New/Excellent Condition,2,0,0,0,0,0,0,0
280,bnakaran,d117899,120000.0,42,2,8,10,Monolit,44.512879,40.17787,0,New/Excellent Condition,1,0,0,0,0,0,0,1
281,bnakaran,d116657,299000.0,120,4,7,16,Monolit,44.512879,40.17787,1,Good Condition,2,0,0,0,0,0,0,1
282,bnakaran,d114569,100000.0,45,2,5,9,Panel,44.501473578047,40.197459365825,0,New/Excellent Condition,1,0,0,0,0,0,0,1
283,bnakaran,d117309,2500.0,95,3,6,14,Monolit,44.512879,40.17787,1,Good Condition,2,0,0,0,0,0,0,1
284,bnakaran,d98281,230000.0,46,2,8,16,Monolit,44.511429455989,40.179915238707,1,Good Condition,1,1,0,0,0,0,0,1
285,bnakaran,d117682,130000.0,40,2,2,5,Monolit,44.515102096538,40.169279922988,1,Good Condition,1,0,0,0,0,0,0,0
286,bnakaran,d115650,260000.0,65,2,14,16,Monolit,44.505586252639,40.184967516543,1,Good Condition,1,0,0,0,0,0,0,1
287,bnakaran,d91689,300000.0,130,3,7,12,Monolit,44.509669118925,40.206320888981,1,Good Condition,2,0,0,0,0,0,0,0
288,bnakaran,d42339,240000.0,109,3,10,16,Monolit,44.516680598281,40.203909758636,1,Good Condition,2,0,0,0,0,0,0,1
289,bnakaran,d89523,1300000.0,160,4,6,10,Monolit,44.514216529933,40.181219115559,1,New/Excellent Condition,2,1,0,0,0,0,0,1
290,bnakaran,d117671,240000.0,85,3,6,6,Stone,44.520439492065,40.184516308227,0,Good Condition,1,0,0,0,0,0,0,0
291,bnakaran,d117910,470000.0,100,3,3,5,Stone,44.512879,40.17787,0,Good Condition,2,0,0,0,0,0,0,1
292,bnakaran,d117911,75000.0,67,2,10,10,Other,44.512879,40.17787,0,Good Condition,0,0,0,0,0,0,0,1
293,bnakaran,d117900,400000.0,151,5,3,5,Stone,44.499085710311,40.197921320088,0,Good Condition,2,0,0,0,0,0,0,0
294,bnakaran,d117861,1125.0,70,2,6,14,Monolit,44.521841609785,40.173426244165,1,Good Condition,1,0,0,0,0,0,0,0
