source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,124644,110000.0,47.0,2.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.50164222859443,40.19625902492543,0,0,0,1,0,0,1,0,"(40.19625902492543, 44.50164222859443)",1614,1563,488,9886,2212,4544,3862,3853,5964,3648,4190,5779,6169,676,5864,566,1910,2924,4655,6141,5360,6708,7317,6202,4,3,2,4,5,1,1,1,2,0,0,0,0,0,0,0,0,0
bnakaran,d116679,250000.0,72.0,3.0,7.0,16.0,1.0,0,0,0,1,0,0,0,0,44.519620890876,40.185605860671,0,0,1,0,1,0,0,0,"(40.185605860671, 44.519620890876)",387,1027,1494,10777,2744,3731,5560,2442,4202,5523,3742,6318,5210,2547,5357,2439,71,1720,3606,5262,5029,6490,6499,4861,13,8,34,3,6,6,10,0,0,3,2,0,2,1,0,4,0,0
myrealty,139209,230000.0,96.0,3.0,7.0,9.0,1.0,1,1,0,0,0,1,1,1,44.50292388371961,40.192933034202376,1,0,0,0,0,0,1,0,"(40.192933034202376, 44.50292388371961)",1289,1179,141,9805,1968,4178,4007,3725,5593,4016,4268,5604,6167,912,5532,804,1623,2538,4277,5778,5044,6415,7352,5817,1,3,6,3,5,2,0,0,1,3,0,0,0,0,0,0,0,0
bars,4-3-95,200000.0,104.0,4.0,4.0,7.0,2.0,0,0,0,1,0,1,0,1,44.50603348930943,40.19194689069822,0,1,0,0,0,1,0,0,"(40.19194689069822, 44.50603348930943)",1014,1002,144,9991,2066,4090,4284,3463,5360,4255,4102,5735,5953,1195,5503,1086,1338,2362,4153,5691,5040,6434,7155,5657,1,3,8,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0
bars,4-3-1427,115000.0,83.0,3.0,7.0,14.0,1.0,0,0,0,0,0,0,0,0,44.50164222859443,40.19625902492543,0,0,1,0,0,0,0,1,"(40.19625902492543, 44.50164222859443)",1614,1563,488,9886,2212,4544,3862,3853,5964,3648,4190,5779,6169,676,5864,566,1910,2924,4655,6141,5360,6708,7317,6202,4,3,2,4,5,1,1,1,2,0,0,0,0,0,0,0,0,0
bnakaran,d117579,160000.0,89.0,3.0,3.0,5.0,2.0,0,0,0,1,0,1,0,0,44.513892509261,40.165163273084,0,0,0,1,1,0,0,0,"(40.165163273084, 44.513892509261)",2319,2052,3136,9741,2659,1573,6115,4154,2658,7168,5931,5162,7013,3954,3278,3879,2395,689,1306,2975,3128,4561,8346,2610,0,9,1,4,2,2,2,0,2,1,1,0,0,1,0,2,0,0
bnakaran,d113725,146000.00000000003,78.0,3.0,8.0,9.0,1.0,0,0,0,1,0,0,0,0,44.495065,40.225053,0,0,1,0,1,0,0,0,"(40.225053, 44.495065)",4663,4796,3714,11400,5140,7758,4457,5669,9057,1544,4562,8099,6749,3094,8945,3126,4805,6159,7900,9343,8379,9600,7463,9449,0,1,0,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0
myrealty,140268,121000.0,81.0,3.0,2.0,5.0,1.0,0,0,0,0,0,0,0,0,44.48028805,40.20511795,0,0,0,1,0,0,1,0,"(40.20511795, 44.48028805)",3640,3398,2491,8968,2975,5788,2187,5811,7827,2025,5656,5560,7810,1442,6710,1547,3966,4641,6062,7291,6099,7204,8819,7725,0,6,5,1,3,1,0,0,1,1,0,0,0,1,1,3,0,0
myrealty,142692,125000.0,85.0,4.0,1.0,6.0,2.0,0,1,0,1,0,1,1,0,44.52473536231635,40.20625843913501,0,0,0,1,1,0,0,0,"(40.20625843913501, 44.52473536231635)",2396,2945,2308,12140,4314,6018,5888,2396,6283,4464,1948,7974,4038,2813,7578,2727,2266,4039,5934,7579,7177,8608,5107,7179,0,1,5,1,1,8,4,0,2,0,2,1,0,3,0,0,0,0
bnakaran,d102791,153000.0,85.0,2.0,7.0,8.0,1.0,1,0,1,1,0,0,0,0,44.515702460327,40.177120695254,1,0,0,0,0,0,1,0,"(40.177120695254, 44.515702460327)",988,930,1951,10170,2324,2739,5563,3165,3528,6081,4705,5630,6018,2910,4388,2817,1071,721,2606,4261,4097,5563,7333,3921,5,7,14,0,7,11,9,0,0,3,0,1,0,0,1,0,0,0
