source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,opera,malibu,aua,zvartnoc,dalma,yerevan_mall,shumyan_cemetery,nork_cemetery,central_cemetery,davtashen_cemetery,zeytun_cemetery,yerablur,avan_cemetery,baghramyan_subway,shengavit_subway,barekamutyun_subway,yeritasardakan_subway,zoravar_subway,sasunci_subway,gorcarain_subway,gergin_subway,charbakh_subway,avan,massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
myrealty,130538,200000.0,89.0,4.0,2.0,9.0,1.0,0,0,0,0,0,1,0,0,44.52003469603711,40.17296185385123,0,0,1,0,0,0,1,0,"(40.17296185385123, 44.52003469603711)",1509,1519,2537,10414,2768,2563,6097,3168,2939,6670,4921,5841,6035,3501,4261,3408,1473,695,2316,3984,4056,5510,7364,3458,3,5,10,5,2,7,0,0,3,5,1,1,2,0,0,0,0,0
bars,4-3-554,600000.0,187.0,4.0,4.0,16.0,2.0,0,1,1,1,1,1,0,1,44.50603348930943,40.19194689069822,0,1,0,0,1,0,0,0,"(40.19194689069822, 44.50603348930943)",1014,1002,144,9991,2066,4090,4284,3463,5360,4255,4102,5735,5953,1195,5503,1086,1338,2362,4153,5691,5040,6434,7155,5657,1,3,8,0,4,1,0,0,0,1,0,0,1,0,0,0,0,0
myrealty,142337,169000.0,56.0,2.0,9.0,14.0,1.0,1,1,0,1,0,1,1,0,44.48023076128606,40.14596510603376,1,0,0,0,0,0,1,0,"(40.14596510603376, 44.48023076128606)",5347,4751,5561,6813,3750,2016,6143,7688,5015,8587,9277,2715,10557,5816,491,5805,5601,3905,2481,1659,523,992,11885,3242,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0
bnakaran,d117311,83700.0,62.0,2.0,2.0,12.0,1.0,1,0,0,1,0,0,0,0,44.520523,40.20867,1,0,0,0,1,0,0,0,"(40.20867, 44.520523)",2562,3040,2263,11969,4269,6162,5585,2843,6621,4028,2220,7890,4377,2602,7676,2527,2497,4224,6118,7742,7245,8656,5390,7427,1,6,8,0,1,4,7,2,3,3,0,0,0,1,0,2,0,0
bars,1-B-120,255000.0,58.0,2.0,15.0,13.0,1.0,0,0,0,1,0,1,0,1,44.51863665459219,40.17606564344017,0,1,0,0,1,0,0,0,"(40.17606564344017, 44.51863665459219)",1145,1192,2182,10380,2585,2767,5839,3030,3295,6316,4674,5826,5896,3162,4445,3067,1133,769,2578,4245,4191,5654,7219,3799,2,5,9,1,4,7,2,1,0,2,0,1,1,0,1,0,0,0
myrealty,138434,190000.0,108.0,4.0,4.0,4.0,2.0,0,1,0,0,0,1,1,0,44.5388218,40.222082400000005,0,1,0,0,0,0,1,0,"(40.222082400000005, 44.5388218)",4489,5067,4403,14080,6413,8098,7504,3324,7926,5246,1240,10044,3127,4718,9688,4652,4300,6091,7970,9632,9300,10735,3733,9089,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0
myrealty,132001,285000.0,68.0,3.0,3.0,10.0,2.0,1,0,0,0,0,0,0,0,44.51959732658925,40.20241187184684,1,0,0,0,0,0,1,0,"(40.20241187184684, 44.51959732658925)",1864,2366,1698,11551,3703,5473,5403,2544,5968,4287,2519,7365,4532,2266,7006,2173,1801,3525,5420,7048,6591,8015,5652,6729,0,4,2,2,1,2,0,0,2,3,0,0,0,1,0,0,0,0
bnakaran,d95762,93000.0,62.0,3.0,2.0,4.0,1.0,0,0,0,0,0,0,0,0,44.505909600838,40.178988220217,0,0,0,1,1,0,0,0,"(40.178988220217, 44.505909600838)",1102,486,1499,9435,1482,2662,4723,3797,4205,5489,5055,4946,6588,2276,4154,2199,1433,1014,2713,4260,3753,5197,7876,4250,9,11,18,5,2,5,5,1,0,3,1,1,0,3,0,1,0,0
myrealty,134669,97000.0,50.0,2.0,3.0,5.0,1.0,0,0,0,0,0,0,0,0,44.51413593557797,40.21066440089994,0,0,0,1,0,0,1,0,"(40.21066440089994, 44.51413593557797)",2743,3113,2187,11632,4132,6253,5112,3410,6981,3442,2729,7672,4918,2284,7695,2227,2762,4389,6261,7849,7226,8604,5883,7653,0,0,0,3,1,0,0,1,1,2,0,0,1,0,0,0,0,0
myrealty,142715,130000.0,80.0,1.0,7.0,11.0,3.0,0,1,1,1,0,1,1,1,44.58217085,40.187316,1,0,0,0,0,0,1,0,"(40.187316, 44.58217085)",5700,6319,6625,15919,8013,7794,10764,3066,5477,9777,4140,11354,2658,7588,9445,7478,5292,6210,7338,8762,9405,10790,3504,7432,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
bnakaran,d92458,35000.0,40.0,2.0,5.0,9.0,1.0,0,0,0,0,0,0,0,0,44.507789591895,40.180094773661,0,0,1,0,1,0,0,0,"(40.180094773661, 44.507789591895)",903,330,1400,9626,1645,2814,4814,3602,4195,5454,4856,5144,6387,2247,4333,2164,1232,1054,2834,4408,3943,5389,7675,4334,11,9,23,5,2,6,10,3,0,1,1,1,1,3,0,3,0,0
bnakaran,d112352,124800.0,96.0,3.0,4.0,14.0,1.0,0,0,0,0,0,0,0,0,44.521879764556,40.181826506084,0,1,0,0,0,0,1,0,"(40.181826506084, 44.521879764556)",740,1187,1892,10823,2855,3454,5862,2443,3740,5968,3982,6312,5284,2938,5120,2832,516,1439,3275,4942,4838,6303,6596,4451,10,6,14,3,4,9,6,0,0,0,2,0,3,1,0,0,0,0
myrealty,136499,60000.0,43.0,1.0,5.0,5.0,1.0,0,1,0,0,1,1,0,0,44.48028805,40.20511795,0,0,0,1,1,0,0,0,"(40.20511795, 44.48028805)",3640,3398,2491,8968,2975,5788,2187,5811,7827,2025,5656,5560,7810,1442,6710,1547,3966,4641,6062,7291,6099,7204,8819,7725,0,6,5,1,3,1,0,0,1,1,0,0,0,1,1,3,0,0
bars,1-1-401,245000.0,48.0,1.0,2.0,6.0,1.0,0,1,0,1,0,1,0,1,44.5215976,40.18607885,0,1,0,0,1,0,0,0,"(40.18607885, 44.5215976)",552,1203,1617,10953,2920,3853,5710,2267,4189,5596,3600,6491,5039,2668,5493,2559,146,1836,3708,5370,5176,6638,6331,4921,10,7,25,2,3,3,9,0,0,3,2,0,4,1,0,4,0,0
myrealty,141462,215000.00000000003,77.0,2.0,3.0,5.0,1.0,0,1,0,1,0,1,1,0,44.51240035,40.1775186,0,0,0,1,0,0,1,0,"(40.1775186, 44.51240035)",970,721,1790,9913,2041,2659,5290,3380,3727,5897,4829,5384,6218,2703,4269,2615,1157,700,2586,4217,3944,5407,7525,3989,6,1,16,1,3,15,11,1,0,3,0,0,0,0,1,0,0,0
bnakaran,d117746,670000.0,111.0,3.0,5.0,19.0,2.0,1,0,0,0,0,0,0,0,44.512879,40.17787,1,0,0,0,1,0,0,0,"(40.17787, 44.512879)",923,711,1769,9963,2079,2711,5310,3325,3734,5884,4774,5437,6162,2696,4324,2606,1102,741,2632,4266,4000,5463,7469,4023,7,1,16,0,4,14,11,1,0,1,0,0,0,0,1,0,0,0
myrealty,141829,115000.0,46.0,2.0,15.0,16.0,1.0,0,0,0,0,0,0,0,0,44.42128610507695,40.1879233237781,0,0,1,0,0,0,1,0,"(40.1879233237781, 44.42128610507695)",7971,7385,7082,4337,5790,7639,3175,10674,10812,6145,10953,4189,13036,6244,7277,6343,8377,7941,8182,8389,6684,6724,14123,9681,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
bnakaran,d107962,555000.0,165.0,5.0,16.0,19.0,3.0,1,0,0,1,0,1,0,0,44.507462714233,40.182552051186,1,0,0,0,0,1,0,0,"(40.182552051186, 44.507462714233)",752,72,1127,9691,1659,3076,4681,3530,4427,5202,4677,5247,6274,2004,4570,1916,1131,1322,3107,4672,4161,5598,7548,4608,4,5,13,3,5,5,10,6,1,3,0,1,1,4,0,4,0,0
myrealty,142528,100000.0,77.0,3.0,9.0,9.0,1.0,0,1,0,1,1,1,1,1,44.47141904225626,40.14899286446672,0,0,1,0,0,0,1,0,"(40.14899286446672, 44.47141904225626)",5541,4899,5586,6038,3647,2571,5608,8046,5738,8260,9494,1909,10909,5691,1307,5696,5838,4254,3100,2478,964,920,12226,4037,0,0,0,1,1,0,0,0,1,2,0,0,0,1,0,0,0,0
myrealty,130516,290000.0,49.0,2.0,4.0,16.0,1.0,0,1,0,0,0,1,1,1,44.51959732658925,40.20241187184684,1,0,0,0,0,0,1,0,"(40.20241187184684, 44.51959732658925)",1864,2366,1698,11551,3703,5473,5403,2544,5968,4287,2519,7365,4532,2266,7006,2173,1801,3525,5420,7048,6591,8015,5652,6729,0,4,2,2,1,2,0,0,2,3,0,0,0,1,0,0,0,0
bnakaran,d115843,230000.0,98.0,3.0,4.0,7.0,3.0,1,0,0,1,0,1,0,0,44.496191082,40.207518025243,1,0,0,0,0,1,0,0,"(40.207518025243, 44.496191082)",2881,2898,1818,10187,3227,5806,3552,4598,7276,2381,4281,6453,6447,1161,7016,1180,3108,4258,5957,7391,6466,7733,7443,7528,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,3,0,0
